,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.191107534647268e-09,1.4676140069587313e-10,4.851900228307601e-11,3.228662323786581e-11,7.242042026676909e-12
Fp2,2.1427205511780495e-09,1.4131483475647754e-10,4.549426627632731e-11,3.1581830992088334e-11,7.037844940246248e-12
F3,2.1987900673117653e-09,1.5277898957400052e-10,4.8892578504758916e-11,3.337654860697281e-11,7.398062201298636e-12
F4,2.1857235326013366e-09,1.441614616674927e-10,4.531427376577013e-11,3.216608367963042e-11,7.256748326020427e-12
C3,2.1953152459871102e-09,1.4325770975116671e-10,4.633377447883848e-11,3.216297021723639e-11,6.949984195989576e-12
C4,2.18466525656389e-09,1.4636098585096331e-10,4.833213687719128e-11,3.303747541448955e-11,6.984679857518675e-12
P3,2.211833408785198e-09,1.533245574496974e-10,5.6409912731501914e-11,3.4386765590911784e-11,7.64303330691508e-12
P4,2.2092717849814184e-09,1.5048243603871755e-10,5.593518615675831e-11,3.491047338865092e-11,7.107208424555241e-12
O1,2.2081980387365377e-09,1.6004927282192636e-10,7.531915531596755e-11,3.744769736068358e-11,8.6697111691911e-12
O2,2.2176233069045538e-09,1.5746854021559683e-10,7.830510735361433e-11,3.7502701888845436e-11,7.922903378351707e-12
F7,2.2114298235698023e-09,1.5181745818041868e-10,5.3726974561641674e-11,3.462583256971311e-11,7.937678527953641e-12
F8,2.207001397339348e-09,1.5218167406817758e-10,4.8967430273058966e-11,3.4245623766594335e-11,8.369045007159465e-12
T3,2.197103335639908e-09,1.5129094346644106e-10,5.219078131544625e-11,3.589393291757176e-11,9.735032021201048e-12
T4,2.1978386912726625e-09,1.5852453107303312e-10,5.650220788010375e-11,3.5712059562908496e-11,9.007442601540401e-12
T5,2.2173346574449527e-09,1.5799662812214732e-10,6.027137733989684e-11,3.652969755366872e-11,9.089992056770937e-12
T6,2.2001998812688316e-09,1.5754741821211156e-10,6.556969843845859e-11,3.556010526086631e-11,8.097450017748922e-12
Fz,2.1781622264584614e-09,1.4993635396349701e-10,4.87261265735243e-11,3.2741718706742396e-11,7.110564260418513e-12
Cz,2.2956172796273595e-09,1.48825345699544e-10,4.914667389531622e-11,3.561872370315049e-11,7.472868729927423e-12
Pz,2.201055283123445e-09,1.4825526913394442e-10,5.1982214672008324e-11,3.423705152546581e-11,6.8904738581012426e-12
