,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,2.2968258154753334e-09,2.0567301440486636e-10,6.908712754206446e-11,5.428010012108527e-11,1.4267169569267462e-11
Fp2,2.1664270227027828e-09,1.992340298733535e-10,6.795228425187903e-11,5.385393893267535e-11,1.552020472899555e-11
F3,2.129123184142764e-09,1.8662789380076051e-10,6.099013280668287e-11,4.6719238289057044e-11,1.2453139303851155e-11
F4,1.9493855797910527e-09,1.7942229332224861e-10,6.210745335275315e-11,5.299156096752849e-11,1.9652624549303904e-11
C3,1.929073216802357e-09,1.6979996388605287e-10,5.398080427903282e-11,3.8463542679474174e-11,9.533980303111245e-12
C4,1.8539378434029023e-09,1.6547312649951018e-10,5.321577835048718e-11,3.963128864509726e-11,9.720548619474584e-12
P3,2.0808317479617855e-09,1.8892971268211273e-10,6.225039920464326e-11,4.409773775566391e-11,9.485890459749723e-12
P4,2.0022998871055587e-09,1.8575199054171136e-10,6.002448831359966e-11,4.3832623769811954e-11,1.022883042984969e-11
O1,2.1898725349416803e-09,1.970433970723657e-10,6.711140512076711e-11,4.4187849584426255e-11,1.131282843976631e-11
O2,2.1679790315464003e-09,1.93407374721218e-10,6.520631216789576e-11,4.4690551047660956e-11,1.2393307965047094e-11
F7,2.226232617656676e-09,2.017285174663917e-10,6.478533881357879e-11,5.595768983695277e-11,2.7702914152819657e-11
F8,2.0997478074089708e-09,1.9937330208488922e-10,6.560044099537266e-11,5.512482527266653e-11,2.6375227196344267e-11
T3,2.106237947228988e-09,2.1655440284154743e-10,6.481714846104219e-11,4.843477983822437e-11,1.87987019252577e-11
T4,1.9654739332779006e-09,2.1614302464489658e-10,6.817337969854026e-11,4.8227908643776885e-11,1.7631246065270115e-11
T5,2.3628670167583442e-09,2.44826666340661e-10,7.57514039718975e-11,4.699518678859451e-11,1.2863253162139802e-11
T6,2.2247465598816956e-09,2.3276037992559135e-10,7.394324383190717e-11,4.882917131009402e-11,1.7269310002266176e-11
Fz,2.0672128380028644e-09,1.9486765873373606e-10,6.365142409775583e-11,4.725324991899631e-11,1.0480614169151811e-11
Cz,1.9515799529728528e-09,1.6312339544186396e-10,5.7006648866245105e-11,4.295804451219813e-11,9.057457575668266e-12
Pz,2.0919973079450435e-09,1.7045934264419486e-10,6.07594111165975e-11,4.4357705974833666e-11,9.903929668648895e-12
