,Delta (0.5–4 Hz),Theta (4–8 Hz),Alpha (8–13 Hz),Beta (13–30 Hz),Gamma (30-45 Hz)
Fp1,7.184128539374637e-09,7.435337616337131e-10,3.506057346968762e-10,3.8950517800976826e-10,1.912850154671766e-10
Fp2,7.950176207150555e-09,8.232088554742192e-10,3.6967274835597794e-10,4.110681666437191e-10,2.0248553372632787e-10
F3,6.791715227173872e-09,6.976350603690443e-10,3.0303987300216824e-10,3.364014267484765e-10,1.5369949924572116e-10
F4,6.7246754871813034e-09,6.960750493214035e-10,2.942209725371096e-10,3.3495446467135727e-10,1.5100443976072883e-10
C3,6.747139076550843e-09,6.935138917574503e-10,2.9267556649315175e-10,3.08751281454274e-10,1.3572219190569207e-10
C4,6.67836972845533e-09,6.841349549719112e-10,2.848498967653412e-10,2.9925128081487815e-10,1.277388323473356e-10
P3,6.700455979818906e-09,6.866763335108996e-10,3.1246700897094325e-10,2.9734170883600483e-10,1.2552742912540072e-10
P4,6.8116966632186325e-09,7.001921967610102e-10,3.3354986853553674e-10,3.078950952745472e-10,1.2828809240522812e-10
O1,6.749895568818877e-09,6.858047143327661e-10,4.466108561422386e-10,2.961444644466775e-10,1.2097456536544781e-10
O2,6.820786397853484e-09,7.022797558760074e-10,4.866059618964524e-10,3.2552956482289286e-10,1.3609777627878335e-10
F7,6.749782551608455e-09,6.996239174682605e-10,3.233915001458013e-10,3.7599499363461363e-10,1.9179760197420608e-10
F8,6.746652773221564e-09,6.925150401827957e-10,2.991363929731606e-10,3.2343101447087605e-10,1.5090506572197662e-10
T3,6.759853162168051e-09,7.05940746503548e-10,3.158659863155914e-10,3.2413114179089386e-10,1.4925543302842878e-10
T4,6.743951206134501e-09,6.972125534840117e-10,3.03080511468144e-10,3.25515185899245e-10,1.5815792622028042e-10
T5,6.777683538671068e-09,7.020637607925274e-10,3.3688394134021576e-10,3.2027202401456717e-10,1.358667920441682e-10
T6,6.76499759705696e-09,6.956605726470549e-10,3.732853481330922e-10,3.178927473613845e-10,1.38557844263766e-10
Fz,6.754893009673303e-09,6.936871916379133e-10,2.9754240016076346e-10,3.019197571979487e-10,1.2887543580545498e-10
Cz,6.708531832691419e-09,6.899821524006469e-10,2.8882079652054823e-10,3.018748258362712e-10,1.2953010269434555e-10
Pz,6.76052509108749e-09,6.961272108506171e-10,3.3388062102883144e-10,3.0887213416198553e-10,1.3229449157230544e-10
