,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,3.8097151980966934e-08,6.053615014985034e-09,1.1383694435347132e-09,5.146444266742047e-10,1.713616233761303e-10
Fp2,3.841803218047554e-08,6.091976186388699e-09,1.1352947415535365e-09,5.173149860278818e-10,1.7350215976349761e-10
F3,3.8041819393919815e-08,6.079350905465583e-09,1.1595946724356354e-09,5.555242454951337e-10,1.9831105418187353e-10
F4,3.826286950887787e-08,6.065539397049433e-09,1.1335795338058569e-09,5.185393741344829e-10,1.7707234138325495e-10
C3,3.778913096850288e-08,6.052829462751863e-09,1.1342930626692285e-09,5.195612047325132e-10,1.8161485631641976e-10
C4,3.794324468743602e-08,6.036871695553734e-09,1.1272003728210993e-09,5.112156381004783e-10,1.7711730549885967e-10
P3,3.790893821583272e-08,6.064780435541425e-09,1.139435970873206e-09,5.136421794357958e-10,1.7441785687873093e-10
P4,5.666513758795123e-08,2.305191290593469e-08,8.531442096989065e-09,6.7132854276281305e-09,7.122250972028625e-09
O1,3.900969411882758e-08,6.126661419742875e-09,1.1666235952692674e-09,5.291438853180919e-10,1.6639377380618008e-10
O2,3.849106322874983e-08,6.061411842453791e-09,1.129250729269032e-09,4.768235198624427e-10,1.4979310242009895e-10
F7,4.217054061845601e-08,6.608150929039308e-09,1.4561165365733497e-09,8.065893706623626e-10,2.138405868150112e-10
F8,3.8744227822054186e-08,6.0533134661402255e-09,1.132128401655359e-09,5.13294965999763e-10,1.799696785927433e-10
T3,3.9087133363216235e-08,6.058974303233753e-09,1.120872417004306e-09,4.852171562147787e-10,1.6168257199277974e-10
T4,4.442935436769299e-08,7.242886901477811e-09,1.3961156635092915e-09,6.121154076995161e-10,1.86728123192594e-10
T5,3.8239069167373354e-08,6.0707341692875265e-09,1.130496787282747e-09,4.97237048703655e-10,1.636764875353238e-10
T6,4.0652591293860365e-08,6.0426235532083936e-09,1.128823533212626e-09,4.887068735763554e-10,1.5812891029209074e-10
Fz,3.8258619921256724e-08,6.1060918620702804e-09,1.1421500542370849e-09,5.292575341223483e-10,1.74772745001519e-10
Cz,3.884280725435644e-08,6.079157714197305e-09,1.1473460899513849e-09,5.2480011980648e-10,1.7534225319568143e-10
Pz,4.0443789677054336e-08,6.080517606212974e-09,1.1523421346418412e-09,5.028716009412406e-10,1.6633905396670968e-10
