,Delta (0.5-4 Hz),Theta (4-8 Hz),Alpha (8-13 Hz),Beta (13-30 Hz),Gamma (30-45 Hz)
Fp1,2.012204313821981e-09,1.656902693383583e-10,4.776208070651424e-11,3.6242241134610517e-11,1.1406131603617878e-11
Fp      2,2.076422672160811e-09,1.790603702433156e-10,5.4362851670289354e-11,4.3195073343765874e-11,1.6794922196802587e-11
F3,2.032972678940675e-09,1.5288398512071586e-10,4.589283964872698e-11,3.519544013195931e-11,1.1516412679310532e-11
F4,2.045719951451235e-09,1.490868791282828e-10,4.667628360968929e-11,3.561988406824934e-11,1.0446812022543901e-11
C3,2.030726685267034e-09,1.3401856223065472e-10,4.2827032598525436e-11,3.3933975202308745e-11,9.172804270598034e-12
C4,2.0369595444525383e-09,1.3426838416527205e-10,4.2973761445268475e-11,3.426582508671423e-11,9.865207144333111e-12
P3,2.0628583805701324e-09,1.4467237813670917e-10,4.456225048783793e-11,3.3726540558387855e-11,8.902371932321876e-12
P4,2.092625947978947e-09,1.5205357952493038e-10,4.645020659541314e-11,3.502614717894612e-11,9.205912460656893e-12
O1,2.131702880744217e-09,1.6488381181721023e-10,5.299336887947673e-11,4.496739855888827e-11,1.7992211432827497e-11
O2,2.1358874760680744e-09,1.7113821234851437e-10,5.315140002020384e-11,4.283099987630225e-11,1.4141707469007955e-11
F7,2.022503097455786e-09,1.6212784677579036e-10,4.742870808937492e-11,3.708836109905007e-11,1.3247134754075879e-11
F8,2.1015816301309813e-09,1.744887359775826e-10,5.263834579023665e-11,4.138754958276583e-11,1.5544369546965435e-11
T3,2.0453772482592263e-09,1.507706404280702e-10,4.7578932164016683e-11,4.12980809106638e-11,1.562822320804623e-11
T4,2.056792688112411e-09,1.569203254884164e-10,4.966318650466434e-11,4.274111237673144e-11,1.8925002334215586e-11
T5,2.1154582386649893e-09,1.6143224517590332e-10,5.596794137826751e-11,5.1773939558730116e-11,2.503938069892676e-11
T6,2.101628090195849e-09,1.577876533308262e-10,5.0637708348851436e-11,4.0697532977221536e-11,1.2988709638122548e-11
Fz,2.053376301032214e-09,1.4895759327015773e-10,4.636519287137424e-11,3.549310991575586e-11,1.1206266947632084e-11
Cz,2.0434129038061965e-09,1.3680740770115422e-10,4.334210156795142e-11,3.457594427747643e-11,1.010867743262173e-11
Pz,2.0814212271813233e-09,1.5835884875984738e-10,4.592172726866765e-11,3.332819730092572e-11,8.380499735526306e-12
